Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A
-0.044, -2.698e-4, 1.278e-5
-0.045, -2.737e-4, 1.280e-5
-0.046, -2.831e-4, 1.284e-5
-0.047, -2.875e-4, 1.285e-5
-0.048, -2.971e-4, 1.289e-5
-0.049, -3.020e-4, 1.290e-5
-0.050, -3.118e-4, 1.294e-5
-0.051, -3.169e-4, 1.296e-5
-0.052, -3.271e-4, 1.301e-5
-0.053, -3.322e-4, 1.303e-5
-0.054, -3.434e-4, 1.308e-5
-0.055, -3.494e-4, 1.310e-5
-0.056, -3.606e-4, 1.315e-5
-0.057, -3.676e-4, 1.317e-5
-0.058, -3.796e-4, 1.322e-5
-0.059, -3.873e-4, 1.323e-5
-0.060, -4.002e-4, 1.328e-5
-0.061, -4.084e-4, 1.329e-5
-0.062, -4.213e-4, 1.334e-5
-0.063, -4.302e-4, 1.335e-5
-0.064, -4.439e-4, 1.340e-5
-0.065, -4.530e-4, 1.341e-5
-0.066, -4.675e-4, 1.346e-5
-0.067, -4.772e-4, 1.346e-5
-0.068, -4.913e-4, 1.352e-5
-0.069, -5.012e-4, 1.352e-5
-0.070, -5.158e-4, 1.358e-5
-0.071, -5.260e-4, 1.359e-5
-0.072, -5.402e-4, 1.367e-5
-0.073, -5.509e-4, 1.367e-5
-0.074, -5.661e-4, 1.374e-5
-0.075, -5.767e-4, 1.375e-5
-0.076, -5.924e-4, 1.383e-5
-0.077, -6.032e-4, 1.383e-5
-0.078, -6.181e-4, 1.391e-5
-0.079, -6.292e-4, 1.395e-5
-0.080, -6.436e-4, 1.404e-5
-0.081, -6.554e-4, 1.406e-5
-0.082, -6.700e-4, 1.415e-5
-0.083, -6.824e-4, 1.418e-5
-0.084, -6.987e-4, 1.427e-5
-0.085, -7.117e-4, 1.428e-5
-0.086, -7.273e-4, 1.436e-5
-0.087, -7.385e-4, 1.439e-5
-0.088, -7.535e-4, 1.448e-5
-0.089, -7.662e-4, 1.452e-5
-0.090, -7.811e-4, 1.461e-5
-0.091, -7.947e-4, 1.464e-5
-0.092, -8.097e-4, 1.473e-5
-0.093, -8.236e-4, 1.476e-5
-0.094, -8.378e-4, 1.484e-5
-0.095, -8.517e-4, 1.488e-5
-0.096, -8.663e-4, 1.495e-5
-0.097, -8.805e-4, 1.498e-5
-0.098, -8.943e-4, 1.505e-5
-0.099, -9.085e-4, 1.509e-5
-0.100, -9.214e-4, 1.517e-5
-0.101, -9.341e-4, 1.521e-5
-0.102, -9.465e-4, 1.528e-5
-0.103, -9.612e-4, 1.533e-5
-0.104, -9.726e-4, 1.539e-5
-0.105, -9.868e-4, 1.545e-5
-0.106, -9.988e-4, 1.550e-5
-0.107, -1.012e-3, 1.555e-5
-0.108, -1.023e-3, 1.560e-5
-0.109, -1.036e-3, 1.564e-5
-0.110, -1.046e-3, 1.569e-5
-0.111, -1.059e-3, 1.575e-5
-0.112, -1.069e-3, 1.578e-5
-0.113, -1.081e-3, 1.584e-5
-0.114, -1.089e-3, 1.586e-5
-0.115, -1.100e-3, 1.593e-5
-0.116, -1.109e-3, 1.595e-5
-0.117, -1.119e-3, 1.602e-5
-0.118, -1.127e-3, 1.602e-5
-0.119, -1.136e-3, 1.610e-5
-0.120, -1.143e-3, 1.608e-5
-0.121, -1.152e-3, 1.616e-5
-0.122, -1.157e-3, 1.614e-5
-0.123, -1.164e-3, 1.622e-5
-0.124, -1.169e-3, 1.621e-5
-0.125, -1.176e-3, 1.630e-5
-0.126, -1.179e-3, 1.627e-5
-0.127, -1.184e-3, 1.637e-5
-0.128, -1.186e-3, 1.633e-5
-0.129, -1.192e-3, 1.643e-5
-0.130, -1.193e-3, 1.638e-5
-0.131, -1.198e-3, 1.648e-5
-0.132, -1.199e-3, 1.641e-5
-0.133, -1.203e-3, 1.651e-5
-0.134, -1.202e-3, 1.644e-5
-0.135, -1.206e-3, 1.654e-5
-0.136, -1.204e-3, 1.646e-5
-0.137, -1.209e-3, 1.657e-5
-0.138, -1.207e-3, 1.648e-5
-0.139, -1.210e-3, 1.659e-5
-0.140, -1.208e-3, 1.648e-5
-0.141, -1.210e-3, 1.658e-5
-0.142, -1.207e-3, 1.648e-5
-0.143, -1.210e-3, 1.658e-5
-0.144, -1.206e-3, 1.648e-5
-0.145, -1.208e-3, 1.658e-5
-0.146, -1.203e-3, 1.647e-5
-0.147, -1.206e-3, 1.658e-5
-0.148, -1.203e-3, 1.645e-5
-0.149, -1.206e-3, 1.655e-5
-0.150, -1.201e-3, 1.642e-5
-0.151, -1.205e-3, 1.651e-5
-0.152, -1.202e-3, 1.636e-5
-0.153, -1.206e-3, 1.645e-5
-0.154, -1.201e-3, 1.631e-5
-0.155, -1.203e-3, 1.641e-5
-0.156, -1.199e-3, 1.627e-5
-0.157, -1.200e-3, 1.639e-5
-0.158, -1.197e-3, 1.625e-5
-0.159, -1.197e-3, 1.637e-5
-0.160, -1.194e-3, 1.625e-5
-0.161, -1.197e-3, 1.638e-5
-0.162, -1.193e-3, 1.626e-5
-0.163, -1.195e-3, 1.639e-5
-0.164, -1.191e-3, 1.627e-5
-0.165, -1.191e-3, 1.641e-5
-0.166, -1.189e-3, 1.627e-5
-0.167, -1.191e-3, 1.641e-5
-0.168, -1.187e-3, 1.629e-5
-0.169, -1.192e-3, 1.643e-5
-0.170, -1.191e-3, 1.629e-5
-0.171, -1.194e-3, 1.641e-5
-0.172, -1.193e-3, 1.626e-5
-0.173, -1.197e-3, 1.638e-5
-0.174, -1.195e-3, 1.624e-5
-0.175, -1.197e-3, 1.635e-5
-0.176, -1.191e-3, 1.621e-5
-0.177, -1.194e-3, 1.633e-5
-0.178, -1.188e-3, 1.620e-5
-0.179, -1.194e-3, 1.632e-5
-0.180, -1.194e-3, 1.618e-5
-0.181, -1.195e-3, 1.626e-5
-0.182, -1.190e-3, 1.613e-5
-0.183, -1.193e-3, 1.626e-5
-0.184, -1.189e-3, 1.615e-5
-0.185, -1.192e-3, 1.629e-5
-0.186, -1.190e-3, 1.620e-5
-0.187, -1.193e-3, 1.633e-5
-0.188, -1.189e-3, 1.623e-5
